lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
337495,D, X, 2007-01-29,1, 2, 48.5, 21, -0.8, 0.0023, 7, 4, 10133, 49.2, 41.3, 14, 41.8, 70, 35.4, 110, 34, 154, 33.6, 179, 35.4, 221, 26.8, 272, 29.5 ,,,,,,
337677,C, X, 2006-07-23,7, 1, 28, 30.2, -0.5, 0.0004, 8, 2.3, 7591, 111.2, 26.42, 34, 23.2, 56, 28.6, 95, 25.9, 118, 21.3, 150, 26.8, 204, 25.4, 260, 25.4, 300, 27.2 ,,,,
337686,C, X, 2006-07-15,7, 1, 26.1, 31.3, -0.5, 0.0011, 8, 4.7, 6345, 83.8, 22.99, 6, 5.9, 42, 22.7, 64, 22.2, 103, 28.1, 126, 28.6, 158, 21.8, 212, 16.3, 268, 18.2 ,,,,
337810,D, X, 2007-04-03,4, 2, 48.7, 23.2, -0.8, 0.0008, 8, 4.9, 12524, 75.1, 44.83, 6, 22.7, 46, 46.8, 90, 46.3, 115, 50.8, 157, 35, 208, 39, 252, 43.1, 283, 37.2 ,,,,
337854,D, X, 2007-01-30,1, 3, 58.7, 29.2, -0, 0.0038, 7, 2.3, 9863, 47.2, 44.31, 13, 36.8, 69, 42.7, 109, 41.3, 153, 31.8, 178, 33.6, 220, 23.6, 271, 18.2 ,,,,,,
338025,D, X, 2007-02-07,2, 3, 44.8, 39.3, -0, 0.0021, 7, 2.9, 9277, 74.2, 35.49, 5, 22.7, 61, 29.1, 101, 36.3, 145, 35, 170, 31.8, 212, 26.3, 263, 27.7 ,,,,,,
338027,D, X, 2007-02-01,2, 3, 44.8, 22.3, -0, 0.0019, 7, 2.7, 9917, 56.2, 38.75, 11, 29.5, 67, 42.7, 107, 34.5, 151, 31.8, 176, 29.1, 218, 30, 269, 30.9 ,,,,,,
338030,D, X, 2007-02-06,2, 3, 63.2, 28.8, 0, 0.0036, 7, 4.8, 10871, 48.2, 48.18, 6, 32.2, 62, 49.5, 102, 44.5, 146, 40.9, 171, 40, 213, 20, 264, 23.2 ,,,,,,
338079,D, X, 2007-02-07,2, 3, 60.1, 25.4, -0, 0.004, 7, 2.9, 9852, 42.8, 45.93, 5, 34.5, 61, 44.5, 101, 41.3, 145, 33.6, 170, 33.6, 212, 19.1, 263, 22.2 ,,,,,,
338100,D, J, 2007-02-18,2, 4, 43.8, 28.1, 0, 0.0011, 7, 3.8, 10692, 78.7, 38.88, 50, 40, 90, 30.9, 134, 42.2, 159, 37.2, 201, 34, 252, 35.9, 296, 30.4 ,,,,,,
338245,D, X, 2007-02-06,2, 2, 46.2, 22.8, -0.8, 0.0023, 7, 4.5, 9636, 52, 38.96, 6, 22.7, 62, 46.3, 102, 37.2, 146, 26.8, 171, 34.5, 213, 27.2, 264, 25 ,,,,,,
338285,C, X, 2006-07-25,7, 1, 25.1, 30.2, -0.5, 0.0005, 8, 2.4, 6758, 107.9, 23.57, 32, 21.3, 54, 25, 93, 22.7, 116, 18.2, 148, 22.7, 202, 25.9, 258, 23.2, 298, 22.2 ,,,,
338288,C, X, 2006-07-10,7, 1, 26.4, 34.3, -0.5, -0, 8, 3.8, 7643, 0, 13.4, 11, 9.1, 47, 19.1, 69, 26.3, 108, 30.4, 131, 25, 163, 27.2, 217, 29.5, 273, 25 ,,,,
338346,D, X, 2007-03-09,3, 2, 42.5, 22.5, -0.8, 0.0016, 7, 3.6, 9747, 58.7, 37.28, 31, 38.1, 71, 31.8, 115, 34.5, 140, 35.9, 182, 30.9, 233, 35, 277, 23.2 ,,,,,,
338432,C, X, 2006-07-02,7, 1, 30.2, 30.7, -0.5, 0.0001, 8, 1.9, 8570, 152.6, 29.58, 19, 24.5, 55, 26.8, 77, 27.2, 116, 29.1, 139, 29.5, 171, 27.2, 225, 30, 281, 33.1 ,,,,
338436,C, X, 2006-07-08,7, 1, 25.7, 31, -0.5, 0.001, 8, 6.3, 6354, 86.6, 22.85, 13, 12.7, 49, 20.9, 71, 27.7, 110, 28.1, 133, 14.5, 165, 28.1, 219, 10, 275, 25 ,,,,
338442,C, X, 2006-07-09,7, 1, 28.1, 30.5, -0.5, 0.0007, 8, 3.1, 7300, 96.8, 25.77, 12, 17.3, 48, 28.1, 70, 20.9, 109, 29.1, 132, 24.5, 164, 24.5, 218, 20.4, 274, 26.8 ,,,,
