lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
2141719,L, H, 2007-08-30,8, 1, 36.3, 32.4, -0.5, -0.0001, 9, 2, 10606, 0, 18.45, 27, 26.3, 62, 34.5, 90, 35, 111, 37.2, 153, 33.1, 182, 35.9, 210, 35.4, 244, 40.4, 272, 38.1 ,,
2141771,M, H, 2005-01-12,1, 5, 44.4, 42.3, 0, 0.0015, 9, 3.1, 9893, 88.9, 36.33, 28, 23.6, 63, 35.9, 91, 37.2, 118, 35.4, 153, 32.7, 182, 35, 210, 35, 259, 31.8, 287, 26.8 ,,
2143840,L, H, 2007-08-31,8, 1, 44, 36.5, -0.5, 0.0007, 9, 3.4, 11320, 110.1, 39.87, 26, 27.7, 61, 35.4, 89, 38.6, 110, 42.2, 152, 39.5, 181, 36.8, 209, 40, 243, 41.8, 271, 30.4 ,,
2143866,L, H, 2007-09-02,9, 1, 38.3, 36.7, -0.5, 0.0007, 9, 4.5, 9756, 107.6, 34.45, 24, 20.4, 59, 25.4, 87, 29.5, 108, 30.9, 150, 34, 179, 32.2, 207, 35.4, 241, 36.8, 269, 32.7 ,,
2143868,L, H, 2007-09-01,9, 1, 38.3, 36.7, -0.5, 0.0011, 9, 3.2, 9203, 92.7, 33.16, 25, 24.1, 60, 25.9, 88, 28.6, 109, 32.2, 151, 33.1, 180, 30.9, 208, 32.2, 242, 32.2, 270, 27.2 ,,
2143869,L, H, 2007-08-27,8, 1, 44, 36.6, -0.5, 0.0004, 9, 2.8, 11794, 128.3, 41.13, 30, 29.5, 65, 34.5, 93, 38.6, 114, 41.3, 156, 39.5, 185, 40, 213, 39.5, 247, 43.1, 275, 41.8 ,,
2143874,L, H, 2007-09-01,9, 1, 44, 36.6, -0.5, 0.0005, 9, 2.7, 11605, 120.3, 40.61, 25, 27.7, 60, 34, 88, 37.7, 109, 39.5, 151, 40, 180, 40.9, 208, 36.8, 242, 40, 270, 40 ,,
2143884,L, H, 2007-08-28,8, 1, 44, 36.6, -0.5, 0.0002, 9, 3, 12194, 154.5, 42.37, 29, 31.8, 64, 33.6, 92, 37.7, 113, 41.3, 155, 42.2, 184, 41.3, 212, 46.8, 246, 41.3, 274, 41.8 ,,
2143886,L, H, 2007-08-29,8, 1, 38.3, 36.6, -0.5, 0.0003, 9, 6.1, 10358, 134.3, 36.07, 28, 16.8, 63, 29.1, 91, 34, 112, 37.7, 154, 41.3, 183, 40.9, 211, 33.1, 245, 40, 273, 26.8 ,,
2143890,L, H, 2007-08-25,8, 1, 37.8, 33.2, -0.5, 0.001, 9, 2.9, 9319, 90.8, 33.43, 32, 27.7, 67, 28.1, 95, 35.4, 116, 38.1, 158, 34.5, 187, 31.3, 215, 26.8, 249, 30.4, 277, 27.7 ,,
2143933,L, H, 2007-09-04,9, 1, 44, 36.7, -0.5, 0.0008, 9, 3.7, 11040, 102.9, 39.18, 22, 25.4, 57, 32.7, 85, 37.7, 106, 39.5, 148, 38.6, 177, 39.5, 205, 41.3, 239, 41.3, 267, 31.8 ,,
2143973,L, H, 2007-08-27,8, 1, 34.9, 34.1, -0.5, 0.0005, 9, 1.5, 9207, 112.9, 32.24, 30, 26.3, 65, 29.1, 93, 30.9, 114, 32.2, 156, 31.8, 185, 30.9, 213, 33.6, 247, 32.2, 275, 28.1 ,,
2143993,L, H, 2007-09-03,9, 1, 36.8, 34.8, -0.5, -0.0002, 9, 9.2, 10844, 0, 18.67, 23, 24.5, 58, 7.3, 86, 34.5, 107, 37.2, 149, 30.9, 178, 39, 206, 38.1, 240, 41.8, 268, 39 ,,
2144186,L, H, 2007-09-02,9, 1, 41.3, 30.4, -0.5, 0.0011, 8, 3.6, 10068, 82.6, 36.48, 59, 35.4, 87, 36.8, 108, 40.9, 150, 27.2, 179, 35.4, 207, 36.8, 241, 32.2, 269, 28.6 ,,,,
2144333,M, H, 2005-01-06,1, 3, 51.5, 35, 0, 0.0017, 10, 3.8, 11426, 77.1, 42.77, 6, 19.5, 34, 41.3, 69, 44, 97, 44.9, 124, 44.5, 159, 38.1, 188, 40, 216, 38.6, 265, 32.2, 293, 28.6 
2144350,M, H, 2005-01-27,1, 3, 71.9, 39.1, 0, 0.0024, 9, 3.8, 14257, 69.2, 55.74, 13, 40.4, 48, 53.1, 76, 56.3, 103, 61.3, 138, 52.7, 167, 49, 195, 40, 244, 35.9, 272, 40.9 ,,
2144357,M, H, 2005-02-01,2, 3, 58.2, 27.6, 0, 0.0019, 10, 3.8, 12597, 63, 48.88, 8, 27.7, 43, 52.2, 71, 52.7, 98, 47.7, 133, 40.4, 162, 45.4, 190, 42.2, 239, 35.9, 267, 31.8, 302, 33.6 
2144423,M, H, 2005-01-12,1, 3, 53.5, 42.3, 0, 0.002, 9, 4, 11099, 78.2, 42.04, 28, 34.5, 63, 40.4, 91, 33.6, 118, 37.7, 153, 32.7, 182, 36.3, 210, 34, 259, 33.6, 287, 33.1 ,,
2144509,M, H, 2005-01-18,1, 3, 54, 36.3, 0, 0.0012, 9, 2.2, 12759, 89.4, 46.31, 22, 35.9, 57, 42.2, 85, 49.5, 112, 49.5, 147, 46.3, 176, 43.1, 204, 42.2, 253, 39, 281, 35.9 ,,
2144518,M, H, 2005-01-15,1, 3, 80.9, 36.5, 0, 0.0032, 9, 4.8, 14508, 57.6, 60.55, 25, 52.7, 60, 60.4, 88, 59.5, 115, 61.7, 150, 49.9, 179, 48.1, 207, 40.9, 256, 25.4, 284, 38.6 ,,
2144553,M, H, 2005-01-31,1, 3, 62.5, 39.7, 0, 0.0015, 10, 5.8, 14184, 87.9, 52.01, 9, 20.4, 44, 50.4, 72, 54.9, 99, 56.3, 134, 51.3, 163, 49.9, 191, 49, 240, 44, 268, 37.2, 303, 39 
2144601,M, H, 2005-01-19,1, 3, 58.7, 38.6, 0, 0.0019, 9, 5.8, 12584, 77.7, 47.42, 21, 28.6, 56, 46.8, 84, 50.8, 111, 54.5, 146, 50.8, 175, 44, 203, 36.8, 252, 34, 280, 30 ,,
2144658,M, H, 2005-01-26,1, 4, 61, 35.4, 0, 0.0026, 9, 5.6, 11863, 63.3, 47.48, 14, 30.4, 49, 52.2, 77, 45.9, 104, 44.5, 139, 48.6, 168, 40.4, 196, 40, 245, 34.5, 273, 19.1 ,,
2144676,M, H, 2005-01-17,1, 3, 53.5, 23.3, 0, 0.0018, 9, 2.2, 11981, 59.2, 46.26, 23, 41.3, 58, 45.9, 86, 49.5, 113, 41.8, 148, 42.2, 177, 38.1, 205, 33.1, 254, 35.9, 282, 33.6 ,,
2144702,M, H, 2005-01-27,1, 3, 71.5, 28.8, 0, 0.0025, 9, 2.6, 14303, 58.1, 57.78, 13, 47.7, 48, 54.5, 76, 59.9, 103, 58.6, 138, 47.7, 167, 45.4, 195, 43.6, 244, 42.7, 272, 34.5 ,,
2144735,M, H, 2005-01-06,1, 6, 44.8, 41.2, 0, 0.001, 10, 4.5, 10938, 106.1, 38.97, 6, 15.9, 34, 31.3, 69, 40.9, 97, 39, 124, 43.1, 159, 31.3, 188, 41.3, 216, 38.6, 265, 31.3, 293, 34 
2144760,M, H, 2005-01-17,1, 3, 61.7, 20.7, 0, 0.0015, 9, 4.2, 14361, 57.7, 54.72, 23, 49.9, 58, 55.8, 86, 52.7, 113, 56.7, 148, 48.6, 177, 37.7, 205, 45.4, 254, 40.9, 282, 46.3 ,,
2144803,M, H, 2005-02-01,2, 3, 62.5, 42.2, 0, 0.0011, 10, 4.7, 14998, 103.8, 53.65, 8, 22.7, 43, 45.4, 71, 50.4, 98, 52.2, 133, 54.9, 162, 54, 190, 49, 239, 50.4, 267, 45.4, 302, 45.4 
2144815,M, H, 2005-01-03,1, 4, 63.1, 33.7, 0, 0.0023, 10, 4.7, 12789, 65.1, 50.36, 9, 34.5, 37, 51.8, 72, 42.7, 100, 53.1, 127, 54.9, 162, 39.5, 191, 40.4, 219, 39.5, 268, 35.9, 296, 26.8 
2144832,M, H, 2005-01-11,1, 2, 63.9, 24, -0.8, 0.0027, 9, 3.4, 12571, 49.9, 52.46, 29, 49.9, 64, 47.7, 92, 50.4, 119, 48.6, 154, 45.4, 183, 40.9, 211, 37.2, 260, 34, 288, 21.8 ,,
2144835,M, H, 2005-01-23,1, 3, 67.6, 30.7, 0, 0.0019, 9, 2.5, 14609, 67.5, 56.14, 17, 43.6, 52, 56.7, 80, 57.7, 107, 58.1, 142, 48.6, 171, 45.9, 199, 44.5, 248, 42.2, 276, 42.7 ,,
2144895,M, H, 2005-01-30,1, 2, 58.5, 26.4, -0.7, 0.0015, 10, 6, 13600, 67.5, 50.97, 10, 23.2, 45, 44.9, 73, 47.2, 100, 53.1, 135, 49.9, 164, 44.9, 192, 43.6, 241, 33.6, 269, 39.5, 304, 41.3 
2144900,M, H, 2005-01-11,1, 2, 69.7, 24, -0.8, 0.0027, 9, 2.2, 13598, 49.4, 57.05, 29, 53.1, 64, 56.3, 92, 53.1, 119, 51.8, 154, 48.6, 183, 43.1, 211, 40.4, 260, 33.6, 288, 26.8 ,,
2144917,M, H, 2005-01-24,1, 2, 65.5, 21.4, -0.8, 0.0019, 9, 2.2, 14539, 54.1, 56.91, 16, 50.4, 51, 57.2, 79, 57.7, 106, 54, 141, 47.7, 170, 43.6, 198, 44.5, 247, 44.9, 275, 40.4 ,,
2144935,M, H, 2005-01-15,1, 2, 54.8, 21.8, -0.8, 0.0007, 9, 10, 14377, 74.6, 51.1, 25, 44, 60, 57.2, 88, 55.8, 115, 45.9, 150, 42.7, 179, 22.7, 207, 40.4, 256, 44.9, 284, 54 ,,
2144995,M, H, 2005-01-06,1, 2, 66.8, 24, -0.8, 0.0023, 9, 4.4, 13818, 53.2, 55.89, 6, 36.8, 34, 55.8, 69, 52.2, 97, 56.3, 124, 52.7, 159, 43.6, 188, 48.6, 216, 44, 265, 27.2 ,,
2145092,M, H, 2005-01-02,1, 3, 72.4, 41.5, 0, 0.0026, 10, 5.4, 13899, 68.3, 54.83, 10, 38.1, 38, 49.9, 73, 52.2, 101, 54.5, 128, 58.6, 163, 54, 192, 46.8, 220, 41.3, 269, 34, 297, 22.2 
2145110,M, H, 2005-01-07,1, 2, 56.3, 22.5, -0.7, 0.0024, 10, 5.3, 11615, 50.9, 47.37, 5, 21.8, 33, 52.2, 68, 51.8, 96, 45.9, 123, 40, 158, 33.6, 187, 38.1, 215, 38.1, 264, 30.4, 292, 23.6 
2145115,M, H, 2005-01-14,1, 4, 68.3, 32.4, 0, 0.0019, 9, 1.6, 14778, 70.3, 56.42, 26, 50.4, 61, 54, 89, 57.2, 116, 55.8, 151, 52.7, 180, 47.7, 208, 43.1, 257, 42.2, 285, 41.3 ,,
2145131,M, H, 2005-01-02,1, 7, 45.4, 36.1, 0, 0.0017, 9, 2.4, 10011, 78, 37.48, 10, 28.6, 38, 30, 73, 39, 101, 40, 128, 38.1, 163, 32.2, 192, 33.1, 220, 31.8, 269, 26.3 ,,
2145290,M, H, 2005-01-19,1, 2, 49.7, 24.3, -0.8, 0.0012, 9, 2.3, 12045, 68.5, 44.38, 21, 33.6, 56, 46.3, 84, 46.3, 111, 44.9, 146, 39.5, 175, 40.9, 203, 36.3, 252, 36.3, 280, 36.3 ,,
2145320,M, H, 2005-01-18,1, 2, 50.2, 26.4, -0.7, 0.0014, 9, 5.5, 11773, 68.7, 43.88, 22, 23.2, 57, 38.1, 85, 42.7, 112, 43.6, 147, 41.8, 176, 40.9, 204, 39.5, 253, 36.3, 281, 32.7 ,,
2145371,M, X, 2005-01-24,1, 2, 53.7, 22, -0.8, 0.0013, 9, 2.6, 12878, 62.2, 48.05, 16, 43.6, 51, 45.4, 79, 48.1, 106, 45.9, 141, 45.4, 170, 39.5, 198, 38.1, 247, 43.1, 275, 38.1 ,,
2145414,M, H, 2005-01-31,1, 2, 50.2, 26.4, -0.7, 0.001, 10, 4.3, 12500, 77.3, 45.18, 9, 23.2, 44, 37.7, 72, 45.9, 99, 42.2, 134, 45.4, 163, 40.9, 191, 40.9, 240, 34, 268, 42.7, 303, 38.1 
2145420,M, H, 2005-01-21,1, 6, 62.5, 42, 0, 0.0018, 9, 3.4, 13461, 82.9, 50.21, 19, 39, 54, 45.9, 82, 50.4, 109, 55.4, 144, 42.7, 173, 42.7, 201, 45.4, 250, 35.9, 278, 39.5 ,,
2145438,M, H, 2005-01-26,1, 2, 54.5, 23.1, -0.8, 0.0024, 9, 3.3, 11233, 51.6, 45.73, 14, 40.9, 49, 42.2, 77, 42.7, 104, 43.6, 139, 44, 168, 40.9, 196, 29.1, 245, 31.8, 273, 25.9 ,,
2145441,M, H, 2005-01-19,1, 4, 74.5, 40, 0, 0.0035, 9, 9.4, 12708, 56.6, 53.81, 21, 44.5, 56, 51.8, 84, 53.1, 111, 56.3, 146, 48.6, 175, 15.9, 203, 40, 252, 29.5, 280, 19.1 ,,
2148472,M, H, 2005-01-22,1, 2, 47.6, 23.2, -0.8, 0.0011, 9, 2.2, 11827, 69.2, 43.13, 18, 34.5, 53, 45.9, 81, 40.9, 108, 44, 143, 40.4, 172, 37.2, 200, 37.7, 249, 40.4, 277, 34.5 ,,
2148481,M, H, 2005-01-20,1, 2, 57.9, 24.9, -0.8, 0.0012, 9, 3.1, 14046, 70, 51.62, 20, 41.3, 55, 49.9, 83, 49.5, 110, 54, 145, 53.6, 174, 48.1, 202, 43.1, 251, 38.1, 279, 43.1 ,,
2148486,M, H, 2005-01-17,1, 2, 52.6, 25, -0.8, 0.0022, 9, 4.3, 11017, 55.5, 44.06, 23, 37.2, 58, 39.5, 86, 45.9, 113, 47.2, 148, 37.2, 177, 38.1, 205, 35.4, 254, 31.3, 282, 19.5 ,,
2148493,M, H, 2005-01-25,1, 2, 41.4, 23, -0.8, 0.0008, 9, 2.5, 10783, 76.8, 38.37, 15, 30.4, 50, 36.3, 78, 40, 105, 39.5, 140, 35.4, 169, 32.7, 197, 34.5, 246, 40, 274, 32.2 ,,
2148591,M, H, 2005-01-13,1, 2, 50.2, 26.1, -0.8, 0.0008, 9, 2.7, 12893, 82.4, 45.95, 27, 36.8, 62, 40, 90, 46.3, 117, 48.1, 152, 43.1, 181, 43.1, 209, 44, 258, 38.6, 286, 41.3 ,,
2148659,M, H, 2005-01-17,1, 2, 51, 23.7, -0.8, 0.0016, 9, 3.3, 11728, 61.4, 44.56, 23, 38.1, 58, 42.2, 86, 47.2, 113, 48.1, 148, 36.3, 177, 38.6, 205, 33.1, 254, 37.7, 282, 30.4 ,,
2148737,M, H, 2005-01-11,1, 2, 50.2, 26.4, -0.7, 0.0014, 9, 6.1, 11869, 69.7, 44.05, 29, 24.5, 64, 37.7, 92, 44.5, 119, 46.8, 154, 43.6, 183, 38.1, 211, 33.6, 260, 35.9, 288, 33.1 ,,
2148739,M, H, 2005-01-04,1, 2, 49, 23.6, -0.8, 0.0017, 10, 3.7, 11060, 59.3, 42.54, 8, 30.9, 36, 40, 71, 41.3, 99, 43.1, 126, 43.6, 161, 36.8, 190, 26.3, 218, 34.5, 267, 35.9, 295, 28.1 
2148748,M, H, 2005-01-24,1, 2, 60.2, 22.5, -0.8, 0.0014, 9, 3.2, 14312, 62.5, 53.56, 16, 41.3, 51, 59, 79, 55.8, 106, 50.4, 141, 44, 170, 46.3, 198, 45.4, 247, 43.6, 275, 44 ,,
2148751,M, H, 2005-01-16,1, 2, 52.4, 24.8, -0.8, 0.0015, 9, 3.3, 12114, 64, 45.72, 24, 35.9, 59, 47.7, 87, 43.6, 114, 47.7, 149, 44.9, 178, 40, 206, 38.6, 255, 36.3, 283, 28.1 ,,
2148757,M, H, 2005-01-24,1, 2, 63.5, 24.6, -0.8, 0.0012, 9, 2.9, 15417, 69.4, 56.69, 16, 41.8, 51, 56.7, 79, 58.6, 106, 59.9, 141, 54.9, 170, 49.5, 198, 45.4, 247, 48.1, 275, 46.3 ,,
2148770,M, H, 2005-01-22,1, 2, 58.5, 26.4, -0.7, 0.0018, 9, 5.8, 13026, 62.9, 49.99, 18, 27.2, 53, 45.4, 81, 49.5, 108, 49.9, 143, 47.7, 172, 46.8, 200, 44.5, 249, 39, 277, 33.6 ,,
2148814,M, H, 2005-01-05,1, 2, 67.2, 25.4, -0.7, 0.0019, 10, 5.1, 14779, 60.1, 57.33, 7, 34, 35, 52.7, 70, 62.7, 98, 59.9, 125, 59, 160, 42.7, 189, 45.9, 217, 45.9, 266, 44.9, 294, 32.7 
2148846,M, H, 2005-01-18,1, 2, 62.8, 24.5, -0.8, 0.0014, 9, 2.1, 14862, 66.1, 55.43, 22, 46.8, 57, 53.1, 85, 55.8, 112, 54.5, 147, 53.6, 176, 51.8, 204, 49, 253, 42.2, 281, 39.5 ,,
2148854,M, H, 2005-01-09,1, 2, 58.5, 26.4, -0.8, 0.0022, 9, 6, 12296, 57.7, 48.8, 31, 39.5, 66, 43.6, 94, 48.1, 121, 48.1, 156, 39, 185, 43.1, 213, 47.2, 262, 37.7, 290, 21.8 ,,
2148897,M, H, 2005-01-30,1, 3, 67.7, 33.6, 0, 0.0019, 9, 1.5, 14666, 72.1, 55.76, 10, 39.5, 45, 54.5, 73, 57.2, 100, 54, 135, 52.2, 164, 50.4, 192, 49.5, 241, 40.9, 269, 42.2 ,,
2149259,L, H, 2007-08-26,8, 1, 46.1, 35.9, -0.5, 0.0003, 9, 2.9, 12515, 133.8, 43.55, 31, 32.2, 66, 38.1, 94, 43.6, 115, 44, 157, 42.2, 186, 45.9, 214, 44.5, 248, 45.9, 276, 36.8 ,,
2149297,L, H, 2007-08-28,8, 1, 38.3, 36.4, -0.5, -0.0003, 9, 6.5, 11417, 0, 19.4, 29, 17.7, 64, 24.5, 92, 33.1, 113, 34, 155, 34.5, 184, 42.2, 212, 43.1, 246, 46.3, 274, 42.7 ,,
2149304,L, H, 2007-08-25,8, 1, 42, 36.2, -0.5, 0.0007, 9, 2.3, 10746, 107.4, 37.92, 32, 29.5, 67, 36.8, 95, 36.8, 116, 39, 158, 39.5, 187, 39, 215, 38.1, 249, 35.4, 277, 30 ,,
2149307,L, H, 2007-08-24,8, 1, 48.7, 35, -0.5, 0.0004, 9, 4.6, 13106, 125.2, 45.66, 33, 34.5, 68, 42.7, 96, 44.9, 117, 46.8, 159, 50.4, 188, 48.6, 216, 45.9, 250, 49, 278, 33.1 ,,
2149358,L, H, 2007-08-24,8, 1, 38.3, 35.9, -0.5, -0.0004, 9, 5.1, 11698, 0, 19.4, 33, 20.4, 68, 29.1, 96, 33.6, 117, 37.2, 159, 42.2, 188, 39.5, 216, 43.1, 250, 47.2, 278, 44.9 ,,
2149373,L, H, 2007-09-03,9, 1, 42.7, 32.7, -0.5, 0.001, 9, 2.6, 10460, 88.6, 37.64, 23, 30.9, 58, 33.6, 86, 38.1, 107, 39.5, 149, 35, 178, 38.1, 206, 36.3, 240, 35.4, 268, 27.2 ,,
2149378,L, H, 2007-09-01,9, 1, 44, 36.6, -0.5, 0.0004, 9, 4.5, 11843, 130.7, 41.27, 25, 23.6, 60, 33.1, 88, 37.2, 109, 39.5, 151, 36.3, 180, 42.7, 208, 40.9, 242, 42.7, 270, 43.6 ,,
2149402,L, H, 2007-08-25,8, 1, 40.6, 31, -0.5, -0, 9, 2.4, 11757, 0, 20.64, 32, 34, 67, 41.3, 95, 35.4, 116, 37.2, 158, 42.2, 187, 38.6, 215, 43.1, 249, 42.7, 277, 40.9 ,,
2149403,L, H, 2007-08-24,8, 1, 42.9, 36.4, -0.5, 0.0009, 9, 3.5, 10626, 99.2, 37.87, 33, 30.4, 68, 32.2, 96, 36.3, 117, 40.4, 159, 41.3, 188, 36.8, 216, 40, 250, 30.9, 278, 29.5 ,,
2149409,L, H, 2007-08-27,8, 1, 36.5, 36.5, -0.5, 0.0006, 9, 2.6, 9442, 112.6, 33.19, 30, 26.8, 65, 27.2, 93, 32.2, 114, 32.7, 156, 35.9, 185, 35, 213, 33.6, 247, 31.8, 275, 26.8 ,,
2149417,L, H, 2007-08-25,8, 1, 34.6, 31.1, -0.5, 0.0013, 9, 3.1, 8184, 78.9, 30.03, 32, 26.3, 67, 30.9, 95, 31.3, 116, 25.9, 158, 30, 187, 31.3, 215, 26.8, 249, 18.6, 277, 26.3 ,,
2149423,L, H, 2007-09-03,9, 1, 44, 36.7, -0.5, 0.0008, 9, 2.4, 11040, 102.9, 39.18, 23, 30.9, 58, 33.1, 86, 34, 107, 38.6, 149, 39.5, 178, 40, 206, 36.3, 240, 36.8, 268, 35.4 ,,
2149480,L, H, 2007-08-31,8, 1, 31.1, 30.7, -0.5, 0.0007, 9, 5.1, 8017, 95.6, 28.36, 26, 24.1, 61, 28.1, 89, 32.7, 110, 19.1, 152, 27.2, 181, 35.4, 209, 20.9, 243, 30.4, 271, 23.2 ,,
2149497,L, H, 2007-08-26,8, 1, 44, 33.6, -0.5, 0.0005, 9, 3.5, 11649, 112.4, 40.77, 31, 32.7, 66, 36.8, 94, 40.9, 115, 41.8, 157, 45.9, 186, 44.9, 214, 34.5, 248, 40.4, 276, 34 ,,
2149518,L, H, 2007-09-01,9, 1, 44, 36.6, -0.5, 0.0007, 9, 3.5, 11340, 111.1, 39.91, 25, 25, 60, 32.7, 88, 35.9, 109, 39, 151, 40.9, 180, 40.9, 208, 38.6, 242, 39, 270, 38.1 ,,
2149524,L, X, 2007-08-25,8, 1, 39.6, 35.4, -0.5, 0.0006, 9, 6.5, 10365, 113.4, 36.35, 32, 14.5, 67, 27.2, 95, 32.7, 116, 35.9, 158, 36.8, 187, 37.7, 215, 39.5, 249, 35, 277, 32.2 ,,
2149529,L, H, 2007-08-26,8, 1, 26.7, 32.7, -0.5, 0.0001, 8, 2.1, 7573, 164.7, 26.21, 31, 17.3, 66, 25, 94, 26.8, 115, 26.3, 157, 29.5, 186, 27.7, 214, 24.5, 248, 25 ,,,,
2149531,L, H, 2007-08-25,8, 1, 44, 36.6, -0.5, 0.0001, 9, 3.1, 12323, 169.3, 42.83, 32, 29.5, 67, 34.5, 95, 37.7, 116, 41.3, 158, 44, 187, 43.6, 215, 43.6, 249, 44.9, 277, 42.2 ,,
2149535,L, H, 2007-08-28,8, 1, 32.8, 36.5, -0.5, -0.0001, 9, 4.5, 9618, 0, 16.64, 29, 19.1, 64, 21.3, 92, 26.8, 113, 29.5, 155, 34.5, 184, 36.3, 212, 35.9, 246, 36.3, 274, 34 ,,
2149538,L, H, 2007-08-28,8, 1, 41.2, 31.6, -0.5, 0.0024, 9, 2.8, 8355, 62, 33.17, 29, 30.4, 64, 30.4, 92, 33.6, 113, 33.6, 155, 30.9, 184, 29.5, 212, 26.8, 246, 20.9, 274, 15.9 ,,
2149540,L, H, 2007-08-25,8, 1, 44, 36.6, -0.5, 0.0004, 9, 4, 11828, 130, 41.23, 32, 27.7, 67, 33.6, 95, 35, 116, 40, 158, 44, 187, 43.1, 215, 41.3, 249, 42.7, 277, 37.2 ,,
2149542,L, H, 2007-08-27,8, 1, 38.3, 36.6, -0.5, -0, 9, 5.4, 10972, 0, 19.4, 30, 25, 65, 26.3, 93, 28.6, 114, 32.7, 156, 40, 185, 41.8, 213, 44, 247, 41.8, 275, 35 ,,
2149545,L, H, 2007-08-25,8, 1, 44, 36.6, -0.5, 0.0002, 9, 2.8, 12231, 158.2, 42.5, 32, 30, 67, 35.9, 95, 37.7, 116, 42.2, 158, 44.9, 187, 44, 215, 44.5, 249, 42.7, 277, 40.4 ,,
2149553,L, H, 2007-08-24,8, 1, 30, 31.3, -0.5, 0.0003, 9, 2.1, 8305, 127.4, 28.77, 33, 25, 68, 29.1, 96, 23.2, 117, 29.1, 159, 30.4, 188, 30.4, 216, 29.5, 250, 28.1, 278, 26.8 ,,
2149559,L, H, 2007-09-01,9, 1, 26.3, 34.9, -0.5, -0.0004, 9, 3.3, 8102, 0, 13.34, 25, 14.1, 60, 18.6, 88, 24.1, 109, 28.1, 151, 29.5, 180, 31.3, 208, 30.4, 242, 30.9, 270, 29.5 ,,
2149561,L, H, 2007-09-01,9, 1, 38.3, 36.7, -0.5, 0.0011, 9, 3.5, 9203, 92.7, 33.16, 25, 24.5, 60, 26.8, 88, 29.1, 109, 28.1, 151, 32.7, 180, 30.9, 208, 30, 242, 33.6, 270, 30.9 ,,
2149562,L, H, 2007-08-26,8, 1, 41.3, 31.4, -0.5, 0.0004, 9, 3, 11238, 117.2, 39.07, 31, 32.7, 66, 39, 94, 38.1, 115, 37.7, 157, 34, 186, 40.9, 214, 43.1, 248, 40, 276, 33.1 ,,
2149568,L, H, 2007-08-26,8, 1, 30.4, 31.6, -0.5, 0.0002, 8, 1.1, 8522, 139.5, 29.47, 31, 25, 66, 26.3, 94, 28.1, 115, 29.1, 157, 31.8, 186, 29.5, 214, 29.1, 248, 29.1 ,,,,
2149569,L, H, 2007-08-29,8, 1, 37.5, 32.3, -0.5, 0.0006, 9, 2.1, 9909, 107.5, 34.73, 28, 29.1, 63, 31.3, 91, 35, 112, 36.3, 154, 33.6, 183, 35, 211, 32.7, 245, 37.2, 273, 29.5 ,,
2149570,L, H, 2007-08-27,8, 1, 44, 36.6, -0.5, -0, 9, 5.7, 12601, 0, 22.31, 30, 25.9, 65, 30.9, 93, 35.9, 114, 37.2, 156, 42.2, 185, 47.7, 213, 48.6, 247, 48.1, 275, 43.1 ,,
2149572,L, H, 2007-08-24,8, 1, 38.3, 36.7, -0.5, 0.0005, 9, 4.1, 10187, 124.7, 35.57, 33, 22.7, 68, 30.4, 96, 35, 117, 39, 159, 40.4, 188, 35.9, 216, 28.1, 250, 34.5, 278, 34.5 ,,
2149575,L, H, 2007-09-03,9, 1, 32.5, 36.6, -0.5, 0.0004, 9, 4.7, 8797, 133.6, 30.64, 23, 13.6, 58, 22.7, 86, 30.9, 107, 33.6, 149, 34, 178, 33.6, 206, 31.8, 240, 30.9, 268, 24.5 ,,
2149591,L, H, 2007-09-01,9, 1, 38.3, 36.7, -0.5, 0.0007, 9, 4.8, 9756, 107.6, 34.45, 25, 19.5, 60, 26.3, 88, 30.9, 109, 31.8, 151, 36.8, 180, 40, 208, 32.2, 242, 28.1, 270, 31.3 ,,
2149603,L, H, 2007-09-01,9, 1, 38.3, 36.3, -0.5, 0.0005, 9, 3, 10123, 120.5, 35.4, 25, 22.7, 60, 32.7, 88, 35, 109, 34, 151, 29.5, 180, 38.1, 208, 35, 242, 34, 270, 34 ,,
2149620,L, H, 2007-08-30,8, 1, 44, 36.6, -0.5, 0.0007, 9, 3.4, 11340, 111.1, 39.91, 27, 29.5, 62, 35, 90, 36.3, 111, 34.5, 153, 35.9, 182, 41.3, 210, 38.6, 244, 40.9, 272, 39.5 ,,
2149630,L, H, 2007-09-02,9, 1, 44, 36.6, -0.5, 0.0001, 9, 5.4, 12323, 169.3, 42.83, 24, 21.3, 59, 38.1, 87, 40.9, 108, 46.3, 150, 48.1, 179, 38.6, 207, 36.8, 241, 48.1, 269, 42.2 ,,
2149664,L, H, 2007-09-02,9, 1, 36.8, 35.9, -0.5, 0.0005, 9, 3.2, 9747, 119.9, 34.08, 24, 25.9, 59, 29.1, 87, 34.5, 108, 28.6, 150, 36.8, 179, 31.8, 207, 31.8, 241, 38.6, 269, 30.4 ,,
2238458,B, J, 2005-02-07,2, 3, 22.4, 16.2, 0, 0.0034, 8, 4.8, 4093, 36.7, 18.8, 17, 25.9, 52, 13.2, 87, 10.9, 137, 17.7, 172, 7.7, 205, 14.5, 242, 11.3, 276, 10 ,,,,
