lactkey,Farm,Breed,CalveDate,Parity,monthinm,dim,milk
4507068,G, H, 2006-12-10, 1,3, 121, 27.2
4507068,G, H, 2006-12-10, 1,4, 163, 39
4507068,G, H, 2006-12-10, 1,5, 212, 34.5
4507068,G, H, 2006-12-10, 1,6, 247, 28.6
4507068,G, H, 2006-12-10, 1,7, 289, 31.8 
4507068,G, H, 2006-12-10, 1,1, 37, 32.2
4507068,G, H, 2006-12-10, 1,2, 79, 36.3
4507205,G, H, 2006-12-09, 1,8,,
4507205,G, H, 2006-12-09, 1,9,,
4507205,G, H, 2006-12-09, 1,10,,
4507205,G, H, 2006-12-09, 1,3, 122, 35
4507205,G, H, 2006-12-09, 1,4, 164, 35
4507205,G, H, 2006-12-09, 1,5, 213, 31.8
4507205,G, H, 2006-12-09, 1,6, 248, 27.2
4507205,G, H, 2006-12-09, 1,7, 290, 31.8 
4507205,G, H, 2006-12-09, 1,1, 38, 31.3
4507205,G, H, 2006-12-09, 1,2, 80, 30
4507314,G, H, 2006-12-29, 1,8,,
4507314,G, H, 2006-12-29, 1,9,,
4507314,G, H, 2006-12-29, 1,10,,
4507314,G, H, 2006-12-29, 1,3, 102, 35
4507314,G, H, 2006-12-29, 1,4, 144, 40.4
4507314,G, H, 2006-12-29, 1,1, 18, 28.6
4507314,G, H, 2006-12-29, 1,5, 193, 33.1
4507314,G, H, 2006-12-29, 1,6, 228, 30
4507314,G, H, 2006-12-29, 1,7, 270, 31.8 
4507314,G, H, 2006-12-29, 1,2, 60, 31.3
4507339,G, H, 2006-12-05, 1,8,,
4507339,G, H, 2006-12-05, 1,9,,
4507339,G, H, 2006-12-05, 1,10,,
4507339,G, H, 2006-12-05, 1,3, 126, 40.4
4507339,G, H, 2006-12-05, 1,4, 168, 41.8
4507339,G, H, 2006-12-05, 1,5, 217, 29.1
4507339,G, H, 2006-12-05, 1,6, 252, 36.3
4507339,G, H, 2006-12-05, 1,7, 294, 31.8 
4507339,G, H, 2006-12-05, 1,1, 42, 35
4507339,G, H, 2006-12-05, 1,2, 84, 35
4507401,G, H, 2006-12-15, 1,8,,
4507401,G, H, 2006-12-15, 1,9,,
4507401,G, H, 2006-12-15, 1,10,,
4507401,G, H, 2006-12-15, 1,3, 116, 39
4507401,G, H, 2006-12-15, 1,4, 158, 44.5
4507401,G, H, 2006-12-15, 1,5, 207, 33.1
4507401,G, H, 2006-12-15, 1,6, 242, 32.2
4507401,G, H, 2006-12-15, 1,7, 284, 31.8 
4507401,G, H, 2006-12-15, 1,1, 32, 37.7
4507401,G, H, 2006-12-15, 1,2, 74, 43.1
4507424,G, H, 2006-12-06, 1,8,,
4507424,G, H, 2006-12-06, 1,9,,
4507424,G, H, 2006-12-06, 1,10,,
4507424,G, H, 2006-12-06, 1,3, 125, 32.2
4507424,G, H, 2006-12-06, 1,4, 167, 33.6
4507424,G, H, 2006-12-06, 1,5, 216, 37.2
4507424,G, H, 2006-12-06, 1,6, 251, 36.3
4507424,G, H, 2006-12-06, 1,7, 293, 34 
4507424,G, H, 2006-12-06, 1,1, 41, 32.2
4507424,G, H, 2006-12-06, 1,2, 83, 39
4507463,G, H, 2006-12-20, 1,8,,
4507463,G, H, 2006-12-20, 1,9,,
4507463,G, H, 2006-12-20, 1,10,,
4507463,G, H, 2006-12-20, 1,3, 111, 35
4507463,G, H, 2006-12-20, 1,4, 153, 32.2
4507463,G, H, 2006-12-20, 1,5, 202, 39.5
4507463,G, H, 2006-12-20, 1,6, 237, 32.2
4507463,G, H, 2006-12-20, 1,1, 27, 35
4507463,G, H, 2006-12-20, 1,7, 279, 30.4 
4507463,G, H, 2006-12-20, 1,2, 69, 45.9
4507498,G, H, 2006-12-28, 1,8,,
4507498,G, H, 2006-12-28, 1,9,,
4507498,G, H, 2006-12-28, 1,10,,
4507498,G, H, 2006-12-28, 1,3, 103, 40.4
4507498,G, H, 2006-12-28, 1,4, 145, 40.4
4507498,G, H, 2006-12-28, 1,1, 19, 25.9
4507498,G, H, 2006-12-28, 1,5, 194, 35.9
4507498,G, H, 2006-12-28, 1,6, 229, 33.6
4507498,G, H, 2006-12-28, 1,7, 271, 35.4 
4507498,G, H, 2006-12-28, 1,2, 61, 39
4507704,G, H, 2006-12-21, 1,8,,
4507704,G, H, 2006-12-21, 1,9,,
4507704,G, H, 2006-12-21, 1,10,,
4507704,G, H, 2006-12-21, 1,3, 110, 36.3
4507704,G, H, 2006-12-21, 1,4, 152, 28.6
4507704,G, H, 2006-12-21, 1,5, 201, 30.4
4507704,G, H, 2006-12-21, 1,6, 236, 28.6
4507704,G, H, 2006-12-21, 1,1, 26, 30
4507704,G, H, 2006-12-21, 1,7, 278, 30.4 
4507704,G, H, 2006-12-21, 1,2, 68, 35
4507739,G, H, 2006-12-19, 1,8,,
4507739,G, H, 2006-12-19, 1,9,,
4507739,G, H, 2006-12-19, 1,10,,
4507739,G, H, 2006-12-19, 1,3, 112, 24.5
4507739,G, H, 2006-12-19, 1,4, 154, 30
4507739,G, H, 2006-12-19, 1,5, 203, 33.1
4507739,G, H, 2006-12-19, 1,6, 238, 32.2
4507739,G, H, 2006-12-19, 1,1, 28, 28.6
4507739,G, H, 2006-12-19, 1,7, 280, 30.4 
4507739,G, H, 2006-12-19, 1,2, 70, 37.7
4507768,G, H, 2007-01-06, 1,9,,
4507768,G, H, 2007-01-06, 1,10,,
4507768,G, H, 2007-01-06, 1,1, 10, 30
4507768,G, H, 2007-01-06, 1,4, 136, 32.2
4507768,G, H, 2007-01-06, 1,5, 185, 44.9
4507768,G, H, 2007-01-06, 1,6, 220, 30
4507768,G, H, 2007-01-06, 1,7, 262, 29.1
4507768,G, H, 2007-01-06, 1,8, 304, 29.1 
4507768,G, H, 2007-01-06, 1,2, 52, 33.6
4507768,G, H, 2007-01-06, 1,3, 94, 35
4507798,G, H, 2006-12-20, 1,8,,
4507798,G, H, 2006-12-20, 1,9,,
4507798,G, H, 2006-12-20, 1,10,,
4507798,G, H, 2006-12-20, 1,3, 111, 36.3
4507798,G, H, 2006-12-20, 1,4, 153, 35
4507798,G, H, 2006-12-20, 1,5, 202, 34.5
4507798,G, H, 2006-12-20, 1,6, 237, 32.2
4507798,G, H, 2006-12-20, 1,1, 27, 39
4507798,G, H, 2006-12-20, 1,7, 279, 38.1 
4507798,G, H, 2006-12-20, 1,2, 69, 39
4507801,G, H, 2006-12-22, 1,8,,
4507801,G, H, 2006-12-22, 1,9,,
4507801,G, H, 2006-12-22, 1,10,,
4507801,G, H, 2006-12-22, 1,3, 109, 31.3
4507801,G, H, 2006-12-22, 1,4, 151, 35
4507801,G, H, 2006-12-22, 1,5, 200, 39.5
4507801,G, H, 2006-12-22, 1,6, 235, 35
4507801,G, H, 2006-12-22, 1,1, 25, 32.2
4507801,G, H, 2006-12-22, 1,7, 277, 25 
4507801,G, H, 2006-12-22, 1,2, 67, 35
4507812,G, H, 2007-01-20, 1,8,,
4507812,G, H, 2007-01-20, 1,9,,
4507812,G, H, 2007-01-20, 1,10,,
4507812,G, H, 2007-01-20, 1,3, 122, 32.2
4507812,G, H, 2007-01-20, 1,4, 171, 38.1
4507812,G, H, 2007-01-20, 1,5, 206, 24.5
4507812,G, H, 2007-01-20, 1,6, 248, 23.6
4507812,G, H, 2007-01-20, 1,7, 290, 29.1 
4507812,G, H, 2007-01-20, 1,1, 38, 32.2
4507812,G, H, 2007-01-20, 1,2, 80, 35
4507819,G, H, 2007-01-15, 1,8,,
4507819,G, H, 2007-01-15, 1,9,,
4507819,G, H, 2007-01-15, 1,10,,
4507819,G, H, 2007-01-15, 1,3, 127, 40.4
4507819,G, H, 2007-01-15, 1,4, 176, 40.9
4507819,G, H, 2007-01-15, 1,5, 211, 32.2
4507819,G, H, 2007-01-15, 1,6, 253, 25
4507819,G, H, 2007-01-15, 1,7, 295, 31.8 
4507819,G, H, 2007-01-15, 1,1, 43, 40.4
4507819,G, H, 2007-01-15, 1,2, 85, 41.8
4507829,G, H, 2007-02-14, 1,9,,
4507829,G, H, 2007-02-14, 1,10,,
4507829,G, H, 2007-02-14, 1,1, 13, 35
4507829,G, H, 2007-02-14, 1,4, 146, 31.8
4507829,G, H, 2007-02-14, 1,5, 181, 39
4507829,G, H, 2007-02-14, 1,6, 223, 38.1
4507829,G, H, 2007-02-14, 1,7, 265, 27.7
4507829,G, H, 2007-02-14, 1,8, 300, 27.7 
4507829,G, H, 2007-02-14, 1,2, 55, 36.3
4507829,G, H, 2007-02-14, 1,3, 97, 41.8
4494395,H, X, 2007-06-14, 1,1, 13, 25.4
4494395,H, X, 2007-06-14, 1,5, 131, 42.2
4494395,H, X, 2007-06-14, 1,6, 160, 38.1
4494395,H, X, 2007-06-14, 1,7, 189, 35.4
4494395,H, X, 2007-06-14, 1,8, 224, 38.6
4494395,H, X, 2007-06-14, 1,9, 251, 33.1
4494395,H, X, 2007-06-14, 1,10, 281, 32.2 
4494395,H, X, 2007-06-14, 1,2, 44, 40
4494395,H, X, 2007-06-14, 1,3, 70, 35.4
4494395,H, X, 2007-06-14, 1,4, 99, 39
4494459,H, H, 2007-05-17, 1,10,,
4494459,H, H, 2007-05-17, 1,4, 127, 30
4494459,H, H, 2007-05-17, 1,5, 159, 35.9
4494459,H, H, 2007-05-17, 1,6, 188, 30.9
4494459,H, H, 2007-05-17, 1,7, 217, 31.8
4494459,H, H, 2007-05-17, 1,8, 252, 35
4494459,H, H, 2007-05-17, 1,9, 279, 35.9 
4494459,H, H, 2007-05-17, 1,1, 41, 38.6
4494459,H, H, 2007-05-17, 1,2, 72, 39
4494459,H, H, 2007-05-17, 1,3, 98, 27.2
4494487,H, H, 2007-06-12, 1,4, 101, 23.2
4494487,H, H, 2007-06-12, 1,5, 133, 22.2
4494487,H, H, 2007-06-12, 1,1, 15, 18.6
4494487,H, H, 2007-06-12, 1,6, 162, 21.8
4494487,H, H, 2007-06-12, 1,7, 191, 20.4
4494487,H, H, 2007-06-12, 1,8, 226, 16.3
4494487,H, H, 2007-06-12, 1,9, 253, 19.5
4494487,H, H, 2007-06-12, 1,10, 283, 21.8 
4494487,H, H, 2007-06-12, 1,2, 46, 23.6
4494487,H, H, 2007-06-12, 1,3, 72, 23.6
4494494,H, H, 2007-07-04, 1,4, 111, 33.1
4494494,H, H, 2007-07-04, 1,5, 140, 30.9
4494494,H, H, 2007-07-04, 1,6, 169, 28.1
4494494,H, H, 2007-07-04, 1,7, 204, 29.5
4494494,H, H, 2007-07-04, 1,8, 231, 26.8
4494494,H, H, 2007-07-04, 1,1, 24, 15.4
4494494,H, H, 2007-07-04, 1,9, 261, 30.4
4494494,H, H, 2007-07-04, 1,10, 297, 25.4 
4494494,H, H, 2007-07-04, 1,2, 50, 24.5
4494494,H, H, 2007-07-04, 1,3, 79, 30.9
4494499,H, H, 2007-06-05, 1,4, 108, 13.6
4494499,H, H, 2007-06-05, 1,5, 140, 20.4
4494499,H, H, 2007-06-05, 1,6, 169, 23.2
4494499,H, H, 2007-06-05, 1,7, 198, 23.2
4494499,H, H, 2007-06-05, 1,1, 22, 30
4494499,H, H, 2007-06-05, 1,8, 233, 21.8
4494499,H, H, 2007-06-05, 1,9, 260, 17.7
4494499,H, H, 2007-06-05, 1,10, 290, 23.2 
4494499,H, H, 2007-06-05, 1,2, 53, 34.5
4494499,H, H, 2007-06-05, 1,3, 79, 23.2
4494500,H, H, 2007-06-22, 1,5, 123, 27.2
4494500,H, H, 2007-06-22, 1,6, 152, 24.5
4494500,H, H, 2007-06-22, 1,7, 181, 20.4
4494500,H, H, 2007-06-22, 1,8, 216, 21.8
4494500,H, H, 2007-06-22, 1,9, 243, 16.3
4494500,H, H, 2007-06-22, 1,10, 273, 21.8 
4494500,H, H, 2007-06-22, 1,2, 36, 29.1
4494500,H, H, 2007-06-22, 1,1, 5, 14.1
4494500,H, H, 2007-06-22, 1,3, 62, 23.2
4494500,H, H, 2007-06-22, 1,4, 91, 30
4494501,H, H, 2007-05-18, 1,10,,
4494501,H, H, 2007-05-18, 1,4, 126, 25
4494501,H, H, 2007-05-18, 1,5, 158, 20.9
4494501,H, H, 2007-05-18, 1,6, 187, 27.2
4494501,H, H, 2007-05-18, 1,7, 216, 24.5
4494501,H, H, 2007-05-18, 1,8, 251, 20.9
4494501,H, H, 2007-05-18, 1,9, 278, 18.6 
4494501,H, H, 2007-05-18, 1,1, 40, 27.2
4494501,H, H, 2007-05-18, 1,2, 71, 26.3
4494501,H, H, 2007-05-18, 1,3, 97, 24.5
4494502,H, H, 2007-05-16, 1,10,,
4494502,H, H, 2007-05-16, 1,4, 128, 24.5
4494502,H, H, 2007-05-16, 1,5, 160, 16.3
4494502,H, H, 2007-05-16, 1,6, 189, 13.6
4494502,H, H, 2007-05-16, 1,7, 218, 17.7
4494502,H, H, 2007-05-16, 1,8, 253, 13.6
4494502,H, H, 2007-05-16, 1,9, 280, 17.7 
4494502,H, H, 2007-05-16, 1,1, 42, 31.3
4494502,H, H, 2007-05-16, 1,2, 73, 31.3
4494502,H, H, 2007-05-16, 1,3, 99, 28.6
4494512,H, H, 2007-04-13, 1,10,,
4494512,H, H, 2007-04-13, 1,4, 106, 24.5
4494512,H, H, 2007-04-13, 1,5, 132, 25.9
4494512,H, H, 2007-04-13, 1,6, 161, 24.5
4494512,H, H, 2007-04-13, 1,7, 193, 25.9
4494512,H, H, 2007-04-13, 1,8, 222, 24.5
4494512,H, H, 2007-04-13, 1,9, 251, 15 
4494512,H, H, 2007-04-13, 1,2, 36, 25.9
4494512,H, H, 2007-04-13, 1,3, 75, 25.9
4494512,H, H, 2007-04-13, 1,1, 8, 23.6
4494515,H, H, 2007-06-22, 1,5, 123, 29.5
4494515,H, H, 2007-06-22, 1,6, 152, 26.3
4494515,H, H, 2007-06-22, 1,7, 181, 27.2
4494515,H, H, 2007-06-22, 1,8, 216, 26.3
4494515,H, H, 2007-06-22, 1,9, 243, 22.2
4494515,H, H, 2007-06-22, 1,10, 273, 23.6 
4494515,H, H, 2007-06-22, 1,2, 36, 30.9
4494515,H, H, 2007-06-22, 1,1, 5, 22.7
4494515,H, H, 2007-06-22, 1,3, 62, 24.5
4494515,H, H, 2007-06-22, 1,4, 91, 30
4494516,H, H, 2007-05-14, 1,4, 101, 25.4
4494516,H, H, 2007-05-14, 1,5, 130, 23.2
4494516,H, H, 2007-05-14, 1,6, 162, 25
4494516,H, H, 2007-05-14, 1,7, 191, 24.5
4494516,H, H, 2007-05-14, 1,8, 220, 26.3
4494516,H, H, 2007-05-14, 1,9, 255, 24.5
4494516,H, H, 2007-05-14, 1,10, 282, 26.8 
4494516,H, H, 2007-05-14, 1,2, 44, 23.6
4494516,H, H, 2007-05-14, 1,1, 5, 15.4
4494516,H, H, 2007-05-14, 1,3, 75, 30
4494517,H, H, 2007-05-10, 1,4, 105, 36.3
4494517,H, H, 2007-05-10, 1,5, 134, 27.2
4494517,H, H, 2007-05-10, 1,6, 166, 33.1
4494517,H, H, 2007-05-10, 1,7, 195, 17.7
4494517,H, H, 2007-05-10, 1,8, 224, 25.9
4494517,H, H, 2007-05-10, 1,9, 259, 23.2
4494517,H, H, 2007-05-10, 1,10, 286, 26.3 
4494517,H, H, 2007-05-10, 1,2, 48, 30
4494517,H, H, 2007-05-10, 1,3, 79, 34
4494517,H, H, 2007-05-10, 1,1, 9, 15
4494519,H, H, 2007-06-04, 1,4, 109, 30
4494519,H, H, 2007-06-04, 1,5, 141, 31.8
4494519,H, H, 2007-06-04, 1,6, 170, 24.5
4494519,H, H, 2007-06-04, 1,7, 199, 28.6
4494519,H, H, 2007-06-04, 1,1, 23, 31.8
4494519,H, H, 2007-06-04, 1,8, 234, 28.6
4494519,H, H, 2007-06-04, 1,9, 261, 37.2
4494519,H, H, 2007-06-04, 1,10, 291, 23.2 
4494519,H, H, 2007-06-04, 1,2, 54, 28.6
4494519,H, H, 2007-06-04, 1,3, 80, 32.2
4494522,H, H, 2007-06-13, 1,4, 100, 31.3
4494522,H, H, 2007-06-13, 1,5, 132, 33.1
4494522,H, H, 2007-06-13, 1,1, 14, 8.2
4494522,H, H, 2007-06-13, 1,6, 161, 33.6
4494522,H, H, 2007-06-13, 1,7, 190, 35
4494522,H, H, 2007-06-13, 1,8, 225, 36.8
4494522,H, H, 2007-06-13, 1,9, 252, 37.2
4494522,H, H, 2007-06-13, 1,10, 282, 36.3 
4494522,H, H, 2007-06-13, 1,2, 45, 35.4
4494522,H, H, 2007-06-13, 1,3, 71, 30
4494525,H, H, 2007-05-03, 1,4, 112, 32.2
4494525,H, H, 2007-05-03, 1,5, 141, 33.6
4494525,H, H, 2007-05-03, 1,1, 16, 23.2
4494525,H, H, 2007-05-03, 1,6, 173, 33.1
4494525,H, H, 2007-05-03, 1,7, 202, 33.6
4494525,H, H, 2007-05-03, 1,8, 231, 32.2
4494525,H, H, 2007-05-03, 1,9, 266, 31.3
4494525,H, H, 2007-05-03, 1,10, 293, 33.1 
4494525,H, H, 2007-05-03, 1,2, 55, 31.3
4494525,H, H, 2007-05-03, 1,3, 86, 39.5
4494526,H, H, 2007-05-14, 1,10,,
4494526,H, H, 2007-05-14, 1,3, 101, 28.1
4494526,H, H, 2007-05-14, 1,4, 130, 26.3
4494526,H, H, 2007-05-14, 1,5, 162, 30.4
4494526,H, H, 2007-05-14, 1,6, 191, 30
4494526,H, H, 2007-05-14, 1,7, 220, 28.1
4494526,H, H, 2007-05-14, 1,8, 255, 30.4
4494526,H, H, 2007-05-14, 1,9, 282, 28.6 
4494526,H, H, 2007-05-14, 1,1, 44, 25.4
4494526,H, H, 2007-05-14, 1,2, 75, 30.9
4494527,H, H, 2007-07-11, 1,4, 104, 31.8
4494527,H, H, 2007-07-11, 1,5, 133, 28.6
4494527,H, H, 2007-07-11, 1,6, 162, 33.6
4494527,H, H, 2007-07-11, 1,1, 17, 10.9
4494527,H, H, 2007-07-11, 1,7, 197, 35.4
4494527,H, H, 2007-07-11, 1,8, 224, 38.6
4494527,H, H, 2007-07-11, 1,9, 254, 40.4
4494527,H, H, 2007-07-11, 1,10, 290, 36.3 
4494527,H, H, 2007-07-11, 1,2, 43, 19.1
4494527,H, H, 2007-07-11, 1,3, 72, 27.2
4494528,H, H, 2007-05-01, 1,4, 114, 24.5
4494528,H, H, 2007-05-01, 1,5, 143, 23.2
4494528,H, H, 2007-05-01, 1,6, 175, 21.8
4494528,H, H, 2007-05-01, 1,1, 18, 29.1
4494528,H, H, 2007-05-01, 1,7, 204, 23.2
4494528,H, H, 2007-05-01, 1,8, 233, 23.2
4494528,H, H, 2007-05-01, 1,9, 268, 17.7
4494528,H, H, 2007-05-01, 1,10, 295, 22.2 
4494528,H, H, 2007-05-01, 1,2, 57, 10.9
4494528,H, H, 2007-05-01, 1,3, 88, 30
4494530,H, H, 2007-05-23, 1,10,,
4494530,H, H, 2007-05-23, 1,4, 121, 31.3
4494530,H, H, 2007-05-23, 1,5, 153, 27.2
4494530,H, H, 2007-05-23, 1,6, 182, 21.8
4494530,H, H, 2007-05-23, 1,7, 211, 23.2
4494530,H, H, 2007-05-23, 1,8, 246, 21.8
4494530,H, H, 2007-05-23, 1,9, 273, 23.6 
4494530,H, H, 2007-05-23, 1,1, 35, 35
4494530,H, H, 2007-05-23, 1,2, 66, 34
4494530,H, H, 2007-05-23, 1,3, 92, 32.2
4494532,H, H, 2007-05-07, 1,4, 108, 33.6
4494532,H, H, 2007-05-07, 1,1, 12, 27.2
4494532,H, H, 2007-05-07, 1,5, 137, 32.2
4494532,H, H, 2007-05-07, 1,6, 169, 25.9
4494532,H, H, 2007-05-07, 1,7, 198, 21.8
4494532,H, H, 2007-05-07, 1,8, 227, 21.8
4494532,H, H, 2007-05-07, 1,9, 262, 20.4
4494532,H, H, 2007-05-07, 1,10, 289, 19.5 
4494532,H, H, 2007-05-07, 1,2, 51, 30
4494532,H, H, 2007-05-07, 1,3, 82, 28.6
4494534,H, H, 2007-05-04, 1,4, 111, 37.7
4494534,H, H, 2007-05-04, 1,5, 140, 30
4494534,H, H, 2007-05-04, 1,1, 15, 25.9
4494534,H, H, 2007-05-04, 1,6, 172, 35.9
4494534,H, H, 2007-05-04, 1,7, 201, 32.2
4494534,H, H, 2007-05-04, 1,8, 230, 25.9
4494534,H, H, 2007-05-04, 1,9, 265, 28.6
4494534,H, H, 2007-05-04, 1,10, 292, 27.7 
4494534,H, H, 2007-05-04, 1,2, 54, 36.3
4494534,H, H, 2007-05-04, 1,3, 85, 38.1
4494536,H, H, 2007-05-22, 1,10,,
4494536,H, H, 2007-05-22, 1,4, 122, 25.9
4494536,H, H, 2007-05-22, 1,5, 154, 23.2
4494536,H, H, 2007-05-22, 1,6, 183, 27.2
4494536,H, H, 2007-05-22, 1,7, 212, 27.2
4494536,H, H, 2007-05-22, 1,8, 247, 28.6
4494536,H, H, 2007-05-22, 1,9, 274, 27.7 
4494536,H, H, 2007-05-22, 1,1, 36, 28.1
4494536,H, H, 2007-05-22, 1,2, 67, 38.1
4494536,H, H, 2007-05-22, 1,3, 93, 20.4
4494539,H, H, 2007-07-13, 1,4, 102, 24.5
4494539,H, H, 2007-07-13, 1,5, 131, 21.8
4494539,H, H, 2007-07-13, 1,1, 15, 25.4
4494539,H, H, 2007-07-13, 1,6, 160, 20.4
4494539,H, H, 2007-07-13, 1,7, 195, 13.6
4494539,H, H, 2007-07-13, 1,8, 222, 19.5
4494539,H, H, 2007-07-13, 1,9, 252, 19.1
4494539,H, H, 2007-07-13, 1,10, 288, 17.7 
4494539,H, H, 2007-07-13, 1,2, 41, 30.9
4494539,H, H, 2007-07-13, 1,3, 70, 25.9
4494540,H, H, 2007-07-02, 1,4, 113, 23.2
4494540,H, H, 2007-07-02, 1,5, 142, 25.9
4494540,H, H, 2007-07-02, 1,6, 171, 19.1
4494540,H, H, 2007-07-02, 1,7, 206, 20.4
4494540,H, H, 2007-07-02, 1,8, 233, 26.3
4494540,H, H, 2007-07-02, 1,1, 26, 29.1
4494540,H, H, 2007-07-02, 1,9, 263, 24.5
4494540,H, H, 2007-07-02, 1,10, 299, 10.9 
4494540,H, H, 2007-07-02, 1,2, 52, 33.6
4494540,H, H, 2007-07-02, 1,3, 81, 19.1
4494541,H, H, 2007-04-26, 1,4, 119, 25.4
4494541,H, H, 2007-04-26, 1,5, 148, 26.3
4494541,H, H, 2007-04-26, 1,6, 180, 25.9
4494541,H, H, 2007-04-26, 1,7, 209, 25.4
4494541,H, H, 2007-04-26, 1,1, 23, 27.2
4494541,H, H, 2007-04-26, 1,8, 238, 23.6
4494541,H, H, 2007-04-26, 1,9, 273, 26.3
4494541,H, H, 2007-04-26, 1,10, 300, 24.1 
4494541,H, H, 2007-04-26, 1,2, 62, 28.1
4494541,H, H, 2007-04-26, 1,3, 93, 31.8
4494544,H, H, 2007-06-14, 1,1, 13, 30
4494544,H, H, 2007-06-14, 1,5, 131, 37.7
4494544,H, H, 2007-06-14, 1,6, 160, 40
4494544,H, H, 2007-06-14, 1,7, 189, 35.4
4494544,H, H, 2007-06-14, 1,8, 224, 37.7
4494544,H, H, 2007-06-14, 1,9, 251, 36.8
4494544,H, H, 2007-06-14, 1,10, 281, 36.8 
4494544,H, H, 2007-06-14, 1,2, 44, 41.8
4494544,H, H, 2007-06-14, 1,3, 70, 41.8
4494544,H, H, 2007-06-14, 1,4, 99, 31.8
4494546,H, H, 2007-05-25, 1,4, 119, 28.6
4494546,H, H, 2007-05-25, 1,5, 151, 30.4
4494546,H, H, 2007-05-25, 1,6, 180, 27.2
4494546,H, H, 2007-05-25, 1,7, 209, 28.6
4494546,H, H, 2007-05-25, 1,8, 244, 30
4494546,H, H, 2007-05-25, 1,9, 271, 25
4494546,H, H, 2007-05-25, 1,10, 301, 25.9 
4494546,H, H, 2007-05-25, 1,1, 33, 35.4
4494546,H, H, 2007-05-25, 1,2, 64, 37.2
4494546,H, H, 2007-05-25, 1,3, 90, 21.8
4494547,H, H, 2007-05-30, 1,4, 114, 25
4494547,H, H, 2007-05-30, 1,5, 146, 25.9
4494547,H, H, 2007-05-30, 1,6, 175, 25.4
4494547,H, H, 2007-05-30, 1,7, 204, 22.7
4494547,H, H, 2007-05-30, 1,8, 239, 22.7
4494547,H, H, 2007-05-30, 1,9, 266, 25
4494547,H, H, 2007-05-30, 1,1, 28, 8.6
4494547,H, H, 2007-05-30, 1,10, 296, 27.2 
4494547,H, H, 2007-05-30, 1,2, 59, 20.9
4494547,H, H, 2007-05-30, 1,3, 85, 15.4
4494549,H, H, 2007-06-27, 1,4, 118, 31.8
4494549,H, H, 2007-06-27, 1,5, 147, 33.6
4494549,H, H, 2007-06-27, 1,6, 176, 31.3
4494549,H, H, 2007-06-27, 1,7, 211, 27.2
4494549,H, H, 2007-06-27, 1,8, 238, 34.5
4494549,H, H, 2007-06-27, 1,9, 268, 33.6
4494549,H, H, 2007-06-27, 1,10, 304, 36.3 
4494549,H, H, 2007-06-27, 1,1, 31, 40
4494549,H, H, 2007-06-27, 1,2, 57, 16.3
4494549,H, H, 2007-06-27, 1,3, 86, 32.2
4494550,H, H, 2007-09-17, 1,9,,
4494550,H, H, 2007-09-17, 1,10,,
4494550,H, H, 2007-09-17, 1,4, 129, 42.2
4494550,H, H, 2007-09-17, 1,5, 156, 40
4494550,H, H, 2007-09-17, 1,6, 186, 33.1
4494550,H, H, 2007-09-17, 1,7, 222, 38.1
4494550,H, H, 2007-09-17, 1,8, 248, 39.5 
4494550,H, H, 2007-09-17, 1,1, 36, 26.8
4494550,H, H, 2007-09-17, 1,2, 65, 36.3
4494550,H, H, 2007-09-17, 1,3, 94, 36.3
4494551,H, H, 2007-08-18, 1,10,,
4494551,H, H, 2007-08-18, 1,4, 124, 30
4494551,H, H, 2007-08-18, 1,5, 159, 28.6
4494551,H, H, 2007-08-18, 1,6, 186, 27.7
4494551,H, H, 2007-08-18, 1,7, 216, 30
4494551,H, H, 2007-08-18, 1,8, 252, 30
4494551,H, H, 2007-08-18, 1,9, 278, 30 
4494551,H, H, 2007-08-18, 1,1, 34, 28.1
4494551,H, H, 2007-08-18, 1,2, 66, 28.6
4494551,H, H, 2007-08-18, 1,3, 95, 27.2
4494552,H, H, 2007-08-30, 1,10,,
4494552,H, H, 2007-08-30, 1,4, 112, 25.4
4494552,H, H, 2007-08-30, 1,5, 147, 27.2
4494552,H, H, 2007-08-30, 1,6, 174, 25
4494552,H, H, 2007-08-30, 1,7, 204, 27.2
4494552,H, H, 2007-08-30, 1,1, 22, 19.5
4494552,H, H, 2007-08-30, 1,8, 240, 25.4
4494552,H, H, 2007-08-30, 1,9, 266, 27.7 
4494552,H, H, 2007-08-30, 1,2, 54, 23.2
4494552,H, H, 2007-08-30, 1,3, 83, 23.6
4494554,H, H, 2007-09-04, 1,10,,
4494554,H, H, 2007-09-04, 1,4, 107, 21.8
4494554,H, H, 2007-09-04, 1,5, 142, 25.9
4494554,H, H, 2007-09-04, 1,6, 169, 27.7
4494554,H, H, 2007-09-04, 1,1, 17, 25
4494554,H, H, 2007-09-04, 1,7, 199, 25.9
4494554,H, H, 2007-09-04, 1,8, 235, 23.2
4494554,H, H, 2007-09-04, 1,9, 261, 27.2 
4494554,H, H, 2007-09-04, 1,2, 49, 25.9
4494554,H, H, 2007-09-04, 1,3, 78, 25.9
4494556,H, H, 2007-06-18, 1,5, 127, 31.8
4494556,H, H, 2007-06-18, 1,6, 156, 32.2
4494556,H, H, 2007-06-18, 1,7, 185, 33.6
4494556,H, H, 2007-06-18, 1,8, 220, 31.3
4494556,H, H, 2007-06-18, 1,9, 247, 29.1
4494556,H, H, 2007-06-18, 1,10, 277, 32.2 
4494556,H, H, 2007-06-18, 1,2, 40, 31.8
4494556,H, H, 2007-06-18, 1,3, 66, 15
4494556,H, H, 2007-06-18, 1,1, 9, 15
