lactkey,Farm,Breed,CalveDate,Parity,monthinm,dim,milk
2238670,A, J, 2006-04-08, 1,2, 55, 25.9
2238670,A, J, 2006-04-08, 1,3, 90, 21.8
2238680,A, J, 2006-09-16, 1,8,,
2238680,A, J, 2006-09-16, 1,9,,
2238680,A, J, 2006-09-16, 1,10,,
2238680,A, J, 2006-09-16, 1,3, 108, 22.2
2238680,A, J, 2006-09-16, 1,4, 141, 23.6
2238680,A, J, 2006-09-16, 1,5, 172, 23.6
2238680,A, J, 2006-09-16, 1,6, 234, 19.1
2238680,A, J, 2006-09-16, 1,7, 270, 20.4 
2238680,A, J, 2006-09-16, 1,1, 41, 22.2
2238680,A, J, 2006-09-16, 1,2, 75, 23.6
2238686,A, J, 2006-10-25, 1,8,,
2238686,A, J, 2006-10-25, 1,9,,
2238686,A, J, 2006-10-25, 1,10,,
2238686,A, J, 2006-10-25, 1,3, 102, 17.3
2238686,A, J, 2006-10-25, 1,4, 133, 17.3
2238686,A, J, 2006-10-25, 1,5, 195, 18.2
2238686,A, J, 2006-10-25, 1,6, 231, 18.6
2238686,A, J, 2006-10-25, 1,7, 272, 19.5 
2238686,A, J, 2006-10-25, 1,1, 36, 18.2
2238686,A, J, 2006-10-25, 1,2, 69, 19.5
2238727,A, J, 2005-12-04, 1,1, 10, 23.6
2238727,A, J, 2005-12-04, 1,4, 103, 29.5
2238727,A, J, 2005-12-04, 1,5, 130, 29.5
2238727,A, J, 2005-12-04, 1,6, 163, 27.2
2238727,A, J, 2005-12-04, 1,7, 198, 26.8
2238727,A, J, 2005-12-04, 1,8, 227, 20.4
2238727,A, J, 2005-12-04, 1,9, 258, 26.8
2238727,A, J, 2005-12-04, 1,10, 289, 23.2 
2238727,A, J, 2005-12-04, 1,2, 40, 28.1
2238727,A, J, 2005-12-04, 1,3, 72, 30.4
2238885,A, J, 2005-10-26, 1,8,,
2238885,A, J, 2005-10-26, 1,9,,
2238885,A, J, 2005-10-26, 1,10,,
2238885,A, J, 2005-10-26, 1,3, 106, 29.1
2238885,A, J, 2005-10-26, 1,4, 139, 20.4
2238885,A, J, 2005-10-26, 1,5, 173, 25
2238885,A, J, 2005-10-26, 1,6, 210, 17.3
2238885,A, J, 2005-10-26, 1,7, 286, 9.5 
2238885,A, J, 2005-10-26, 1,1, 36, 15.4
2238885,A, J, 2005-10-26, 1,2, 70, 25
2238906,A, J, 2006-03-28, 1,8,,
2238906,A, J, 2006-03-28, 1,9,,
2238906,A, J, 2006-03-28, 1,10,,
2238906,A, J, 2006-03-28, 1,3, 106, 27.2
2238906,A, J, 2006-03-28, 1,4, 140, 18.6
2238906,A, J, 2006-03-28, 1,5, 177, 25.9
2238906,A, J, 2006-03-28, 1,6, 253, 5.9
2238906,A, J, 2006-03-28, 1,7, 304, 20 
2238906,A, J, 2006-03-28, 1,1, 37, 21.8
2238906,A, J, 2006-03-28, 1,2, 73, 22.2
2239076,A, J, 2005-09-06, 1,9,,
2239076,A, J, 2005-09-06, 1,10,,
2239076,A, J, 2005-09-06, 1,3, 101, 16.8
2239076,A, J, 2005-09-06, 1,4, 135, 14.1
2239076,A, J, 2005-09-06, 1,5, 170, 14.1
2239076,A, J, 2005-09-06, 1,6, 206, 15.9
2239076,A, J, 2005-09-06, 1,7, 240, 14.1
2239076,A, J, 2005-09-06, 1,8, 276, 17.7 
2239076,A, J, 2005-09-06, 1,1, 31, 18.2
2239076,A, J, 2005-09-06, 1,2, 65, 19.5
2239114,A, J, 2005-10-06, 1,9,,
2239114,A, J, 2005-10-06, 1,10,,
2239114,A, J, 2005-10-06, 1,3, 105, 20
2239114,A, J, 2005-10-06, 1,4, 140, 17.7
2239114,A, J, 2005-10-06, 1,5, 176, 20
2239114,A, J, 2005-10-06, 1,6, 210, 20
2239114,A, J, 2005-10-06, 1,7, 246, 18.6
2239114,A, J, 2005-10-06, 1,8, 279, 19.1 
2239114,A, J, 2005-10-06, 1,1, 35, 18.6
2239114,A, J, 2005-10-06, 1,2, 71, 21.8
2239116,A, J, 2005-09-19, 1,10,,
2239116,A, J, 2005-09-19, 1,4, 122, 21.3
2239116,A, J, 2005-09-19, 1,5, 157, 20
2239116,A, J, 2005-09-19, 1,1, 18, 26.3
2239116,A, J, 2005-09-19, 1,6, 193, 14.5
2239116,A, J, 2005-09-19, 1,7, 227, 15.4
2239116,A, J, 2005-09-19, 1,8, 263, 18.6
2239116,A, J, 2005-09-19, 1,9, 296, 16.8 
2239116,A, J, 2005-09-19, 1,2, 52, 23.2
2239116,A, J, 2005-09-19, 1,3, 88, 25.9
2239127,A, J, 2005-09-29, 1,10,,
2239127,A, J, 2005-09-29, 1,4, 112, 12.3
2239127,A, J, 2005-09-29, 1,5, 147, 11.8
2239127,A, J, 2005-09-29, 1,6, 183, 13.2
2239127,A, J, 2005-09-29, 1,7, 217, 12.3
2239127,A, J, 2005-09-29, 1,8, 253, 11.8
2239127,A, J, 2005-09-29, 1,9, 286, 13.2 
2239127,A, J, 2005-09-29, 1,2, 42, 8.2
2239127,A, J, 2005-09-29, 1,3, 78, 9.5
2239127,A, J, 2005-09-29, 1,1, 8, 10
2239128,A, J, 2005-08-22, 1,10,,
2239128,A, J, 2005-08-22, 1,4, 116, 21.8
2239128,A, J, 2005-08-22, 1,5, 150, 21.8
2239128,A, J, 2005-08-22, 1,6, 185, 23.6
2239128,A, J, 2005-08-22, 1,7, 221, 23.6
2239128,A, J, 2005-08-22, 1,8, 255, 23.6
2239128,A, J, 2005-08-22, 1,9, 291, 21.8 
2239128,A, J, 2005-08-22, 1,2, 46, 8.6
2239128,A, J, 2005-08-22, 1,3, 80, 24.1
2239128,A, J, 2005-08-22, 1,1, 9, 20
2239137,A, J, 2006-01-21, 1,8,,
2239137,A, J, 2006-01-21, 1,9,,
2239137,A, J, 2006-01-21, 1,10,,
2239137,A, J, 2006-01-21, 1,3, 103, 29.5
2239137,A, J, 2006-01-21, 1,4, 139, 25
2239137,A, J, 2006-01-21, 1,5, 172, 23.6
2239137,A, J, 2006-01-21, 1,6, 206, 20.9
2239137,A, J, 2006-01-21, 1,7, 243, 12.3 
2239137,A, J, 2006-01-21, 1,1, 33, 25.9
2239137,A, J, 2006-01-21, 1,2, 69, 24.1
2239149,A, J, 2005-08-10, 1,10,,
2239149,A, J, 2005-08-10, 1,4, 128, 22.2
2239149,A, J, 2005-08-10, 1,5, 162, 20
2239149,A, J, 2005-08-10, 1,6, 197, 21.3
2239149,A, J, 2005-08-10, 1,1, 21, 14.1
2239149,A, J, 2005-08-10, 1,7, 233, 15
2239149,A, J, 2005-08-10, 1,8, 267, 20
2239149,A, J, 2005-08-10, 1,9, 303, 29.5 
2239149,A, J, 2005-08-10, 1,2, 58, 21.8
2239149,A, J, 2005-08-10, 1,3, 92, 20.4
2239151,A, J, 2005-08-14, 1,10,,
2239151,A, J, 2005-08-14, 1,4, 124, 20.4
2239151,A, J, 2005-08-14, 1,5, 158, 19.5
2239151,A, J, 2005-08-14, 1,1, 17, 23.2
2239151,A, J, 2005-08-14, 1,6, 193, 15.4
2239151,A, J, 2005-08-14, 1,7, 229, 18.6
2239151,A, J, 2005-08-14, 1,8, 263, 22.7
2239151,A, J, 2005-08-14, 1,9, 299, 18.6 
2239151,A, J, 2005-08-14, 1,2, 54, 21.8
2239151,A, J, 2005-08-14, 1,3, 88, 21.8
2239161,A, J, 2005-10-04, 1,9,,
2239161,A, J, 2005-10-04, 1,10,,
2239161,A, J, 2005-10-04, 1,3, 107, 18.2
2239161,A, J, 2005-10-04, 1,4, 142, 15
2239161,A, J, 2005-10-04, 1,5, 178, 14.1
2239161,A, J, 2005-10-04, 1,6, 212, 14.5
2239161,A, J, 2005-10-04, 1,7, 248, 12.7
2239161,A, J, 2005-10-04, 1,8, 281, 14.1 
2239161,A, J, 2005-10-04, 1,1, 37, 17.3
2239161,A, J, 2005-10-04, 1,2, 73, 15.9
2239167,A, J, 2005-09-29, 1,10,,
2239167,A, J, 2005-09-29, 1,4, 112, 11.8
2239167,A, J, 2005-09-29, 1,5, 147, 14.1
2239167,A, J, 2005-09-29, 1,6, 183, 12.3
2239167,A, J, 2005-09-29, 1,7, 217, 12.7
2239167,A, J, 2005-09-29, 1,8, 253, 15
2239167,A, J, 2005-09-29, 1,9, 286, 13.2 
2239167,A, J, 2005-09-29, 1,2, 42, 20.4
2239167,A, J, 2005-09-29, 1,3, 78, 14.5
2239167,A, J, 2005-09-29, 1,1, 8, 17.7
2239168,A, H, 2005-09-13, 1,10,,
2239168,A, H, 2005-09-13, 1,4, 128, 21.8
2239168,A, H, 2005-09-13, 1,5, 163, 17.3
2239168,A, H, 2005-09-13, 1,6, 199, 20.9
2239168,A, H, 2005-09-13, 1,7, 233, 26.3
2239168,A, H, 2005-09-13, 1,1, 24, 20
2239168,A, H, 2005-09-13, 1,8, 269, 25.9
2239168,A, H, 2005-09-13, 1,9, 302, 15 
2239168,A, H, 2005-09-13, 1,2, 58, 23.2
2239168,A, H, 2005-09-13, 1,3, 94, 20.4
2239170,A, J, 2006-02-25, 1,8,,
2239170,A, J, 2006-02-25, 1,9,,
2239170,A, J, 2006-02-25, 1,10,,
2239170,A, J, 2006-02-25, 1,3, 104, 23.6
2239170,A, J, 2006-02-25, 1,4, 137, 25.4
2239170,A, J, 2006-02-25, 1,5, 171, 15.9
2239170,A, J, 2006-02-25, 1,6, 208, 17.7
2239170,A, J, 2006-02-25, 1,7, 284, 17.3 
2239170,A, J, 2006-02-25, 1,1, 34, 27.7
2239170,A, J, 2006-02-25, 1,2, 68, 18.6
2239175,A, H, 2006-01-21, 1,8,,
2239175,A, H, 2006-01-21, 1,9,,
2239175,A, H, 2006-01-21, 1,10,,
2239175,A, H, 2006-01-21, 1,3, 103, 28.6
2239175,A, H, 2006-01-21, 1,4, 139, 30.4
2239175,A, H, 2006-01-21, 1,5, 172, 25.9
2239175,A, H, 2006-01-21, 1,6, 206, 21.8
2239175,A, H, 2006-01-21, 1,7, 243, 17.7 
2239175,A, H, 2006-01-21, 1,1, 33, 25.9
2239175,A, H, 2006-01-21, 1,2, 69, 30.9
2239177,A, J, 2005-11-04, 1,10,,
2239177,A, J, 2005-11-04, 1,4, 111, 22.7
2239177,A, J, 2005-11-04, 1,5, 147, 18.6
2239177,A, J, 2005-11-04, 1,6, 181, 23.6
2239177,A, J, 2005-11-04, 1,7, 217, 23.6
2239177,A, J, 2005-11-04, 1,8, 250, 21.3
